first_name,last_name,department,job_title,email,phone
Michael,Scott,Education,Regional Manager,michael@company.com,9876543210
Dwight,Schrute,Sales,Assistant to the Regional Manager,dwight@company.com,9876543211
Jim,Halpert,Sales,Sales Representative,jim@company.com,9876543212
Andy,Bernard,Sales,Sales Representative,andy@company.com,9876543213
Robert,California,Corporate,CEO,robert@company.com,9876543214
Stanley,Hudson,Sales,Sales Representative,stanley@company.com,9876543215
Kevin,Malone,Accounting,Accountant,kevin@company.com,9876543216
Angela,Martin,Accounting,Accountant,angela@company.com,9876543217
Oscar,Martinez,Accounting,Accountant,oscar@company.com,9876543218
Phyllis,Vance,Sales,Sales Representative,phyllis@company.com,9876543219
Toby,Flenderson,HR,HR Representative,toby@company.com,9876543220
Kelly,Kapoor,Customer Service,Customer Service Representative,kelly@company.com,9876543221
Darryl,Philbin,Warehouse,Warehouse Foreman,darryl@company.com,9876543222
Creed,Bratton,Quality Assurance,Quality Assurance,creed@company.com,9876543223
Meredith,Palmer,Supplier Relations,Supplier Relations,meredith@company.com,9876543224
Erin,Hannon,Reception,Receptionist,erin@company.com,9876543225
Gabe,Lewis,Corporate,Coordinating Director of Emerging Regions,gabe@company.com,9876543226
Jan,Levinson,Corporate,Vice President of Northeast Sales,jan@company.com,9876543227
David,Wallace,Corporate,CFO,david@company.com,9876543228
Holly,Flax,HR,HR Representative,holly@company.com,9876543229
Charles,Miner,Corporate,Vice President of the Northeast Region,charles@company.com,9876543230
Jo,Bennett,Corporate,CEO of Sabre ,jo@company.com,9876543231
Clark,Green,Sales,Sales Representative,clark@company.com,9876543232
Pete,Miller,Customer Service,Customer Service Representative,pete@company.com,9876543233

